                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3149,                 3.1565,                 1.5578,                0.01317,                0.89881,                0.15501,                0.10061,                0.94875,                 3.2241,                 1.5003,                0.00022,                0.00022,                0.00022
                      2,                 1.2004,                 2.3522,                 1.5098,                0.74868,                0.05817,                0.10824,                 0.0596,                  1.384,                 2.8872,                  1.866,             0.00044777,             0.00044777,             0.00044777
                      3,                 1.1861,                 2.1249,                 1.4826,                0.61857,                0.18917,                0.10113,                0.05425,                 1.6853,                 2.5587,                 2.3367,             0.00067327,             0.00067327,             0.00067327
                      4,                 1.2029,                 2.1094,                 1.5355,                0.76009,                0.13227,                0.10955,                0.05556,                 1.5547,                 2.4909,                 2.1756,             0.00089649,             0.00089649,             0.00089649
                      5,                 1.2516,                 1.9702,                 1.5371,                0.78108,                0.11102,                0.13619,                0.06803,                 1.7337,                 2.6214,                 2.4152,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.2097,                 1.8656,                 1.5049,                0.58578,                0.21043,                0.14069,                0.06277,                  1.514,                 2.2265,                 2.0274,             0.00097525,             0.00097525,             0.00097525
                      7,                 1.2218,                 1.9186,                 1.5426,                0.64592,                0.21171,                0.13022,                0.06108,                 1.5609,                 2.1869,                 2.1725,              0.0009703,              0.0009703,              0.0009703
                      8,                 1.2032,                 1.8683,                 1.5138,                0.61008,                0.27516,                0.13351,                0.07609,                 1.3714,                 2.0473,                 1.9608,             0.00096535,             0.00096535,             0.00096535
                      9,                 1.1626,                 1.7492,                 1.4797,                0.78702,                0.18666,                  0.162,                0.07809,                 1.3909,                 1.9804,                 1.8718,              0.0009604,              0.0009604,              0.0009604
                     10,                 1.1623,                  1.706,                 1.4837,                 0.6547,                0.18134,                0.13582,                0.06828,                 1.4171,                 2.1517,                 1.9718,             0.00095545,             0.00095545,             0.00095545
                     11,                 1.1512,                 1.6642,                 1.4657,                0.78027,                0.16247,                0.16057,                0.07457,                  1.439,                 2.1124,                 1.9584,              0.0009505,              0.0009505,              0.0009505
                     12,                 1.1356,                 1.5977,                 1.4711,                0.80028,                0.15982,                0.15039,                0.09057,                 1.4977,                 2.2801,                 1.9881,             0.00094555,             0.00094555,             0.00094555
                     13,                 1.1355,                 1.6085,                 1.4794,                0.60006,                0.24699,                0.19547,                 0.0813,                 1.3646,                 2.2491,                 1.8656,              0.0009406,              0.0009406,              0.0009406
                     14,                 1.1068,                  1.529,                 1.4036,                0.64242,                0.20344,                0.20278,                0.11459,                 1.4092,                 2.1915,                 1.9334,             0.00093565,             0.00093565,             0.00093565
                     15,                 1.1345,                   1.63,                 1.4814,                 0.6424,                0.24095,                0.22614,                0.11558,                   1.43,                  1.606,                 1.8889,              0.0009307,              0.0009307,              0.0009307
                     16,                 1.1301,                 1.5031,                 1.4489,                0.63142,                0.19813,                0.17494,                0.08286,                 1.5657,                 1.9883,                 1.9602,             0.00092575,             0.00092575,             0.00092575
                     17,                 1.1517,                 1.5165,                 1.4341,                0.78208,                0.16809,                0.20617,                0.08718,                 1.6495,                 1.9447,                 2.0086,              0.0009208,              0.0009208,              0.0009208
                     18,                 1.0769,                 1.4047,                 1.3835,                0.70224,                 0.2804,                0.27855,                0.11925,                 1.5582,                  1.932,                 2.0358,             0.00091585,             0.00091585,             0.00091585
